symbol,name,exchange,sector,list_date,mktcap
000966.SZ,长源电力,SZSE,火力发电,20000316,
000967.SZ,盈峰环境,SZSE,环境保护,20000330,
000968.SZ,蓝焰控股,SZSE,石油开采,20000622,
000969.SZ,安泰科技,SZSE,小金属,20000529,
000970.SZ,中科三环,SZSE,矿物制品,20000420,
000973.SZ,佛塑科技,SZSE,塑料,20000525,
000975.SZ,山金国际,SZSE,黄金,20000608,
000977.SZ,浪潮信息,SZSE,IT设备,20000608,
000978.SZ,桂林旅游,SZSE,旅游景点,20000518,
000980.SZ,众泰汽车,SZSE,汽车配件,20000616,
000981.SZ,山子高科,SZSE,汽车配件,20000622,
000983.SZ,山西焦煤,SZSE,煤炭开采,20000726,
000985.SZ,大庆华科,SZSE,化工原料,20000726,
000987.SZ,越秀资本,SZSE,多元金融,20000718,
000988.SZ,华工科技,SZSE,专用机械,20000608,
000989.SZ,九芝堂,SZSE,中成药,20000628,
000990.SZ,诚志股份,SZSE,化工原料,20000706,
000993.SZ,闽东电力,SZSE,水力发电,20000731,
000995.SZ,皇台酒业,SZSE,白酒,20000807,
000997.SZ,新大陆,SZSE,IT设备,20000807,
000998.SZ,隆平高科,SZSE,种植业,20001211,
000999.SZ,华润三九,SZSE,中成药,20000309,
001201.SZ,东瑞股份,SZSE,农业综合,20210428,
001202.SZ,炬申股份,SZSE,仓储物流,20210429,
001203.SZ,大中矿业,SZSE,普钢,20210510,
001205.SZ,盛航股份,SZSE,水运,20210513,
001206.SZ,依依股份,SZSE,造纸,20210518,
001207.SZ,联科科技,SZSE,化工原料,20210623,
001208.SZ,华菱线缆,SZSE,电气设备,20210624,
001209.SZ,洪兴股份,SZSE,服饰,20210723,
001210.SZ,金房能源,SZSE,供气供热,20210729,
001211.SZ,双枪科技,SZSE,家居用品,20210805,
001212.SZ,中旗新材,SZSE,其他建材,20210823,
001213.SZ,中铁特货,SZSE,铁路,20210908,
001215.SZ,千味央厨,SZSE,食品,20210906,
001216.SZ,华瓷股份,SZSE,家居用品,20211019,
001217.SZ,华尔泰,SZSE,化工原料,20210929,
001218.SZ,丽臣实业,SZSE,化工原料,20211015,
001219.SZ,青岛食品,SZSE,食品,20211021,
001220.SZ,世盟股份,SZSE,仓储物流,20260203,
001221.SZ,悍高集团,SZSE,家居用品,20250730,
001222.SZ,源飞宠物,SZSE,文教休闲,20220818,
001223.SZ,欧克科技,SZSE,专用机械,20221212,
001225.SZ,和泰机电,SZSE,专用机械,20230222,
001226.SZ,拓山重工,SZSE,工程机械,20220622,
001227.SZ,兰州银行,SZSE,银行,20220117,
001228.SZ,永泰运,SZSE,仓储物流,20220429,
001229.SZ,魅视科技,SZSE,IT设备,20220808,
001230.SZ,劲旅环境,SZSE,环境保护,20220715,
001231.SZ,农心科技,SZSE,农药化肥,20220819,
001233.SZ,海安集团,SZSE,汽车配件,20251125,
001234.SZ,泰慕士,SZSE,服饰,20220111,
001236.SZ,弘业期货,SZSE,多元金融,20220805,
001238.SZ,浙江正特,SZSE,家居用品,20220919,
001239.SZ,永达股份,SZSE,工程机械,20231212,
001255.SZ,博菲电气,SZSE,电气设备,20220930,
001256.SZ,炜冈科技,SZSE,轻工机械,20221205,
001257.SZ,盛龙股份,SZSE,小金属,20260331,
001258.SZ,立新能源,SZSE,新型电力,20220727,
001259.SZ,利仁科技,SZSE,家用电器,20220831,
001260.SZ,坤泰股份,SZSE,汽车配件,20230216,
001266.SZ,宏英智能,SZSE,电器仪表,20220228,
001267.SZ,汇绿生态,SZSE,通信设备,20211117,
001268.SZ,联合精密,SZSE,机械基件,20220630,
001269.SZ,欧晶科技,SZSE,矿物制品,20220930,
001277.SZ,速达股份,SZSE,专用机械,20240903,
001278.SZ,一彬科技,SZSE,汽车配件,20230308,
001279.SZ,强邦新材,SZSE,广告包装,20241011,
001280.SZ,中国铀业,SZSE,小金属,20251203,
001282.SZ,三联锻造,SZSE,汽车配件,20230524,
001283.SZ,豪鹏科技,SZSE,电气设备,20220905,
001285.SZ,瑞立科密,SZSE,汽车配件,20250930,
001286.SZ,陕西能源,SZSE,火力发电,20230410,
001287.SZ,中电港,SZSE,元器件,20230410,
001288.SZ,运机集团,SZSE,专用机械,20211101,
001289.SZ,龙源电力,SZSE,新型电力,20220124,
001296.SZ,长江材料,SZSE,其他建材,20211224,
001298.SZ,好上好,SZSE,元器件,20221031,
001299.SZ,美能能源,SZSE,供气供热,20221031,
001300.SZ,三柏硕,SZSE,文教休闲,20221019,
001301.SZ,尚太科技,SZSE,电气设备,20221228,
001306.SZ,夏厦精密,SZSE,机械基件,20231116,
001308.SZ,康冠科技,SZSE,元器件,20220318,
001309.SZ,德明利,SZSE,半导体,20220701,
001311.SZ,多利科技,SZSE,汽车配件,20230227,
001313.SZ,粤海饲料,SZSE,饲料,20220216,
